min_support,execution_time,total_itemsets,length_1,length_2,length_3
0.01,0.860320125000726,261,74,170,17
0.03,0.17942316699918592,55,36,19,0
0.05,0.08645508399786195,28,25,3,0
0.1,0.00926166599674616,7,7,0,0
0.15,0.00639295900327852,5,5,0,0
