min_support,min_confidence,execution_time,total_rules
0.01,0.2,0.0005316250026226044,163
0.01,0.25,0.0004931250005029142,99
0.01,0.3,0.0004905409878119826,65
0.01,0.35,0.00047812500270083547,34
0.01,0.4,0.0004810419923160225,19
0.01,0.45,0.00047537501086480916,6
0.01,0.5,0.00047804199857637286,2
